,year,documentary,film-noir,short,comedy,drama,romance,talkshow
74,1969,1011646.0,0,1118023.0,2580788.0,4912469.0,287021.0,161000.0
75,1970,1217026.0,0,687900.0,2317498.0,3858704.0,307596.0,61628.0
76,1971,1042778.0,0,506796.0,2717916.0,4447596.0,99838.0,186660.0
77,1972,297620.0,0,872751.0,3388945.0,4143002.0,755784.0,476612.0
78,1973,580299.0,0,743624.0,3909523.0,8451590.0,460517.0,42924.0
79,1974,2400123.0,0,2142010.0,2857825.0,4514517.0,641640.0,62265.0
80,1975,695215.0,0,1085511.0,2393451.0,4935093.0,533167.0,340596.0
81,1976,605821.0,0,448470.0,3301394.0,4017622.0,807702.0,126366.0
82,1977,775623.0,0,566221.0,4299706.0,5146806.0,359524.0,312087.0
83,1978,999863.0,0,1185571.0,3416076.0,6086573.0,912255.0,13452.0
84,1979,771384.0,0,813139.0,2424114.0,5835912.0,660587.0,305001.0
85,1980,1426102.0,0,997439.0,3167689.0,6337648.0,1105885.0,82521.0
86,1981,1621564.0,0,1021575.0,2775101.0,4708834.0,775969.0,41945.0
87,1982,624791.0,0,359136.0,2923878.0,5768549.0,675438.0,41310.0
88,1983,769994.0,0,542267.0,5522619.0,5525254.0,736206.0,25308.0
89,1984,894149.0,0,468666.0,6340362.0,8825018.0,1752078.0,631931.0
90,1985,1680718.0,0,1225377.0,6563722.0,12852301.0,4114494.0,328204.0
91,1986,682763.0,0,2409148.0,3672906.0,3991388.0,562896.0,340882.0
92,1987,1134469.0,0,2010602.0,4354215.0,2688335.0,618487.0,151455.0
93,1988,1019999.0,0,301734.0,2426074.0,3321697.0,316049.0,42163.0
94,1989,343141.0,0,2258010.0,3425362.0,3385214.0,561018.0,128401.0
95,1990,1009394.0,0,975164.0,6415074.0,4738338.0,771413.0,58182.0
96,1991,485561.0,0,2003918.0,2700134.0,4642431.0,607817.0,167953.0
97,1992,598213.0,0,362086.0,3161998.0,3942171.0,755060.0,137518.0
98,1993,1606684.0,0,1358979.0,1870079.0,4399648.0,1770596.0,103273.0
99,1994,1312101.0,0,1786920.0,4422732.0,3741608.0,499192.0,701919.0
100,1995,1329340.0,0,2973444.0,5524394.0,5255367.0,534619.0,454641.0
101,1996,1852259.0,0,1458583.0,4447609.0,4119448.0,1055999.0,620761.0
102,1997,2228168.0,0,1376994.0,6509531.0,5307656.0,2156200.0,976907.0
103,1998,1336833.0,0,2589502.0,4615231.0,3745685.0,972227.0,662906.0
