,year,Drama-Movies,Comedy-tvEpisodes,Documentary-Movies
0,2000,648.2393521295741,293.6333051206094,387.44081632653064
1,2001,760.1495071193866,230.33179602055606,83.33180147058823
2,2002,140.34833164812943,289.8322806156865,548.6410466067048
3,2003,101.48690835850957,316.3476468950153,282.91590106007067
4,2004,365.24571163653223,441.1926628400299,695.1454138702461
5,2005,1134.6767470371883,367.5267737925319,397.0353510895884
6,2006,525.6618541033434,181.57075362986862,243.60026857654432
7,2007,212.81892857142856,29.907882071940396,54.2840142800476
8,2008,61.22530383296977,1.1542081571409084,11.490834386852086
9,2009,137.63008758371973,5.8754643141416825,0.9992299794661191
10,2010,3.680590814678052,0.5045134472810745,1.2899796426147931
11,2011,2.5251593056471107,0.13703165991696595,0.060662914321450906
12,2012,0.5242135761589404,0.2478690835407352,0.18020594965675057
13,2013,0.24297151368460249,0.4622256556532763,2.140288410183372
14,2014,0.22978339350180504,0.19742997238347518,0.09482615205456663
15,2015,0.07681211684096646,0.3543895673475269,0.0009876543209876543
16,2016,0.5470995210218201,0.28304392236976506,0.014372039849746856
17,2017,0.287598944591029,0.47134330940230085,0.0318686624818928
18,2018,2.2062686044475575,0.388684371124279,0.4721865246924913
19,2019,1.0204852824184567,2.926512809187279,2.754135338345865
20,2020,0.5563380281690141,0.05819730305180979,0.054307116104868915
21,2021,0.04132231404958678,0.0,0.0
