,year,Drama-Movies,Comedy-tvEpisodes,Documentary-Movies
0,2010,3.680590814678052,0.5045134472810745,1.2899796426147931
1,2011,2.5251593056471107,0.13703165991696595,0.060662914321450906
2,2012,0.5242135761589404,0.2478690835407352,0.18020594965675057
3,2013,0.24297151368460249,0.4622256556532763,2.140288410183372
4,2014,0.22978339350180504,0.19742997238347518,0.09482615205456663
5,2015,0.07681211684096646,0.3543895673475269,0.0009876543209876543
6,2016,0.5470995210218201,0.28304392236976506,0.014372039849746856
7,2017,0.287598944591029,0.47134330940230085,0.0318686624818928
8,2018,2.2062686044475575,0.388684371124279,0.4721865246924913
9,2019,1.0204852824184567,2.926512809187279,2.754135338345865
10,2020,0.5563380281690141,0.05819730305180979,0.054307116104868915
11,2021,0.04132231404958678,0.0,0.0
